Frame,Visibility,X,Y,Time
95,1,705,212,00:00:03.1666666666666665
96,1,706,236,00:00:03.2
97,1,707,256,00:00:03.2333333333333334
98,1,708,282,00:00:03.2666666666666666
99,1,711,308,00:00:03.3
100,0,0,0,00:00:03.3333333333333335
101,1,691,302,00:00:03.3666666666666667
102,1,677,273,00:00:03.4
103,1,670,258,00:00:03.433333333333333
104,1,663,246,00:00:03.466666666666667
105,1,658,240,00:00:03.5
106,1,655,233,00:00:03.533333333333333
107,1,651,231,00:00:03.5666666666666664
108,1,650,228,00:00:03.6
109,1,647,226,00:00:03.6333333333333333
110,1,645,226,00:00:03.6666666666666665
111,1,645,227,00:00:03.6999999999999997
112,1,643,228,00:00:03.7333333333333334
113,1,641,231,00:00:03.7666666666666666
114,1,641,232,00:00:03.8
115,1,641,236,00:00:03.8333333333333335
116,1,640,238,00:00:03.8666666666666667
117,1,638,241,00:00:03.9
118,1,638,246,00:00:03.933333333333333
119,1,638,248,00:00:03.966666666666667
120,1,637,253,00:00:04.0
121,1,637,258,00:00:04.033333333333333
122,1,637,265,00:00:04.066666666666666
123,1,636,268,00:00:04.1
124,1,636,276,00:00:04.133333333333333
125,1,637,281,00:00:04.166666666666667
126,1,636,286,00:00:04.2
127,1,637,293,00:00:04.233333333333333
128,1,638,301,00:00:04.266666666666667
129,1,637,306,00:00:04.3
130,1,637,313,00:00:04.333333333333333
131,1,638,321,00:00:04.366666666666666
132,1,637,328,00:00:04.4
133,1,638,336,00:00:04.433333333333334
134,1,638,343,00:00:04.466666666666667
135,1,638,351,00:00:04.5
136,1,638,361,00:00:04.533333333333333
137,1,640,367,00:00:04.566666666666666
138,1,638,368,00:00:04.6
139,1,635,341,00:00:04.633333333333333
140,1,633,323,00:00:04.666666666666667
141,1,630,306,00:00:04.7
142,1,628,291,00:00:04.733333333333333
143,1,626,273,00:00:04.766666666666667
144,1,625,261,00:00:04.8
145,1,623,248,00:00:04.833333333333333
146,1,621,236,00:00:04.866666666666666
147,1,620,226,00:00:04.9
148,1,617,213,00:00:04.933333333333334
149,1,616,206,00:00:04.966666666666667
150,1,613,197,00:00:05.0
151,1,611,188,00:00:05.033333333333333
152,1,611,182,00:00:05.066666666666666
153,1,608,178,00:00:05.1
154,1,606,172,00:00:05.133333333333333
155,1,603,168,00:00:05.166666666666667
156,1,601,166,00:00:05.2
157,1,598,163,00:00:05.233333333333333
158,1,596,163,00:00:05.266666666666667
159,1,593,165,00:00:05.3
160,1,591,167,00:00:05.333333333333333
161,1,587,171,00:00:05.366666666666666
162,1,586,176,00:00:05.4
163,1,581,181,00:00:05.433333333333334
164,1,578,188,00:00:05.466666666666667
165,1,576,198,00:00:05.5
