Frame,Visibility,X,Y,Time
591,1,698,336,00:00:19.7
592,1,701,343,00:00:19.733333333333334
593,1,701,352,00:00:19.766666666666666
594,1,706,346,00:00:19.8
595,1,707,331,00:00:19.833333333333332
596,1,707,320,00:00:19.866666666666667
597,1,711,306,00:00:19.9
598,1,715,295,00:00:19.933333333333334
599,1,718,286,00:00:19.966666666666665
600,1,721,276,00:00:20.0
601,1,722,270,00:00:20.03333333333333
602,1,725,262,00:00:20.066666666666666
603,1,727,256,00:00:20.1
604,1,730,251,00:00:20.133333333333333
605,1,732,246,00:00:20.166666666666668
606,1,736,241,00:00:20.2
607,1,737,238,00:00:20.233333333333334
608,1,741,236,00:00:20.266666666666666
609,1,743,236,00:00:20.3
610,1,746,236,00:00:20.333333333333332
611,1,750,233,00:00:20.366666666666667
612,1,751,236,00:00:20.4
613,1,753,237,00:00:20.433333333333334
614,1,756,241,00:00:20.466666666666665
615,1,760,246,00:00:20.5
616,1,761,248,00:00:20.53333333333333
617,1,766,256,00:00:20.566666666666666
618,1,767,263,00:00:20.6
619,1,771,271,00:00:20.633333333333333
620,1,771,281,00:00:20.666666666666668
621,1,776,291,00:00:20.7
622,1,776,301,00:00:20.733333333333334
623,1,780,315,00:00:20.766666666666666
624,1,782,330,00:00:20.8
625,1,785,343,00:00:20.833333333333332
626,1,786,357,00:00:20.866666666666667
627,1,788,375,00:00:20.9
628,1,771,356,00:00:20.933333333333334
629,1,757,330,00:00:20.966666666666665
630,1,741,307,00:00:21.0
631,1,738,293,00:00:21.03333333333333
632,1,733,281,00:00:21.066666666666666
633,1,726,271,00:00:21.1
634,1,721,263,00:00:21.133333333333333
635,1,716,258,00:00:21.166666666666668
636,1,712,255,00:00:21.2
637,1,708,251,00:00:21.233333333333334
638,1,706,248,00:00:21.266666666666666
639,1,703,246,00:00:21.3
640,1,701,246,00:00:21.333333333333332
641,1,698,246,00:00:21.366666666666667
642,1,696,248,00:00:21.4
643,1,695,250,00:00:21.433333333333334
644,1,692,251,00:00:21.466666666666665
645,1,691,253,00:00:21.5
646,1,690,256,00:00:21.53333333333333
647,1,688,261,00:00:21.566666666666666
648,1,686,263,00:00:21.6
649,1,686,270,00:00:21.633333333333333
650,1,686,275,00:00:21.666666666666668
651,1,683,278,00:00:21.7
652,1,683,286,00:00:21.733333333333334
653,1,682,291,00:00:21.766666666666666
654,1,681,296,00:00:21.8
655,1,681,305,00:00:21.833333333333332
656,1,681,311,00:00:21.866666666666667
657,1,681,318,00:00:21.9
658,1,681,326,00:00:21.933333333333334
659,1,680,333,00:00:21.966666666666665
660,1,678,342,00:00:22.0
661,1,680,351,00:00:22.03333333333333
662,1,678,357,00:00:22.066666666666666
663,0,0,0,00:00:22.1
664,0,0,0,00:00:22.133333333333333
665,0,0,0,00:00:22.166666666666668
666,0,0,0,00:00:22.2
667,0,0,0,00:00:22.233333333333334
668,0,0,0,00:00:22.266666666666666
669,1,673,345,00:00:22.3
670,1,673,323,00:00:22.333333333333332
671,1,671,305,00:00:22.366666666666667
672,1,671,285,00:00:22.4
673,1,668,266,00:00:22.433333333333334
674,1,668,251,00:00:22.466666666666665
675,1,668,236,00:00:22.5
676,1,666,222,00:00:22.53333333333333
677,1,666,210,00:00:22.566666666666666
678,1,666,198,00:00:22.6
679,1,665,186,00:00:22.633333333333333
680,1,663,176,00:00:22.666666666666668
681,1,663,166,00:00:22.7
682,1,661,158,00:00:22.733333333333334
683,1,661,150,00:00:22.766666666666666
684,1,660,145,00:00:22.8
685,1,660,138,00:00:22.833333333333332
686,1,658,133,00:00:22.866666666666667
687,1,656,131,00:00:22.9
688,1,655,126,00:00:22.933333333333334
689,1,653,123,00:00:22.966666666666665
690,1,653,122,00:00:23.0
691,1,651,121,00:00:23.03333333333333
692,1,648,125,00:00:23.066666666666666
693,1,648,126,00:00:23.1
694,1,646,131,00:00:23.133333333333333
695,1,645,133,00:00:23.166666666666668
696,1,643,140,00:00:23.2
697,1,641,147,00:00:23.233333333333334
698,1,641,156,00:00:23.266666666666666
699,1,638,166,00:00:23.3
700,1,637,177,00:00:23.333333333333332
701,1,636,191,00:00:23.366666666666667
702,1,633,205,00:00:23.4
703,1,631,221,00:00:23.433333333333334
704,1,631,237,00:00:23.466666666666665
705,1,628,253,00:00:23.5
706,1,627,273,00:00:23.53333333333333
707,1,626,295,00:00:23.566666666666666
708,1,623,315,00:00:23.6
709,1,625,333,00:00:23.633333333333333
710,1,645,307,00:00:23.666666666666668
711,1,656,281,00:00:23.7
712,1,666,267,00:00:23.733333333333334
713,1,671,256,00:00:23.766666666666666
714,1,676,251,00:00:23.8
715,1,680,246,00:00:23.833333333333332
716,1,683,242,00:00:23.866666666666667
717,1,686,241,00:00:23.9
718,1,690,240,00:00:23.933333333333334
719,1,691,241,00:00:23.966666666666665
720,1,693,240,00:00:24.0
721,1,696,241,00:00:24.03333333333333
722,1,697,243,00:00:24.066666666666666
723,1,698,246,00:00:24.1
724,1,701,247,00:00:24.133333333333333
725,1,702,251,00:00:24.166666666666668
726,1,703,253,00:00:24.2
727,1,705,256,00:00:24.233333333333334
728,1,706,261,00:00:24.266666666666666
729,1,706,266,00:00:24.3
730,1,708,271,00:00:24.333333333333332
731,1,710,276,00:00:24.366666666666667
732,1,711,281,00:00:24.4
733,1,711,286,00:00:24.433333333333334
734,1,713,291,00:00:24.466666666666665
735,1,713,298,00:00:24.5
736,1,716,303,00:00:24.53333333333333
737,1,716,311,00:00:24.566666666666666
738,1,716,317,00:00:24.6
739,1,718,325,00:00:24.633333333333333
740,1,718,332,00:00:24.666666666666668
